device_id,device_age_days,device_trust_score,device_country,device_change_count,emulator_flag,rooted_device_flag,data_layer,data_status,source_type,claim_boundary
D0036683,402,76.79,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0031116,147,57.42,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0043328,36,75.45,ID,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0049999,839,90.79,VN,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0050576,468,95.34,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0016248,160,66.99,ID,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0015562,56,76.89,VN,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0032745,1161,69.8,PH,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0039634,804,65.31,VN,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0011908,244,54.38,SG,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0048463,336,76.42,SG,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0041154,134,80.68,VN,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0023685,614,95.49,VN,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0043745,580,32.53,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0014081,263,84.23,SG,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0003373,576,94.48,VN,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0020449,1218,63.99,TH,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0001431,94,75.19,VN,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0048543,742,84.91,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0036384,296,88.27,MY,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0043028,108,50.46,SG,1,1,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0041889,1101,88.83,VN,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0013499,270,47.61,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0004175,286,85.55,VN,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0024114,247,81.53,VN,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0022053,322,82.57,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0061368,292,66.14,TH,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0038332,455,80.08,TH,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0013219,420,85.34,SG,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0055410,221,78.7,VN,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0031161,159,59.22,VN,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0041753,514,62.65,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0050316,201,75.52,VN,0,0,1,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0036387,405,94.16,ID,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0023837,567,91.33,VN,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0063703,158,60.59,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0027278,360,77.3,TH,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0055404,997,76.77,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0037592,405,87.05,SG,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0048610,1019,78.91,PH,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0059718,162,78.82,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0011748,85,68.26,SG,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0051244,278,75.47,VN,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0046961,153,62.18,SG,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0026155,178,90.18,VN,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0050839,80,93.81,TH,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0025990,650,97.84,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0043881,248,87.44,MY,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0039370,198,60.14,SG,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0064250,484,58.23,VN,3,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0050259,714,67.97,VN,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0040873,420,69.47,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0015198,97,91.85,MY,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0004148,319,50.47,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0032897,411,99.39,SG,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0005340,1617,67.6,MY,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0057351,282,69.52,PH,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0023549,142,74.99,TH,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0034689,238,63.83,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0046384,90,87.06,PH,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0005119,533,86.45,PH,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0060303,210,67.71,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0026884,492,76.93,ID,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0064338,482,53.41,VN,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0058232,492,90.48,VN,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0048218,502,75.87,SG,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0035185,368,94.89,VN,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0027569,220,93.43,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0046144,333,56.19,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0041001,163,61.53,MY,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0015112,82,81.38,MY,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0036281,471,76.98,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0049502,239,78.07,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0015969,421,76.88,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0032321,173,75.44,TH,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0014170,583,44.94,VN,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0024364,79,73.84,VN,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0000109,165,84.5,VN,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0061839,645,66.2,SG,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0053144,470,96.52,MY,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0005751,507,72.17,SG,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0021224,1200,80.26,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0012186,235,77.99,MY,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0028257,183,62.79,ID,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0008131,274,85.2,MY,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0061538,405,81.13,ID,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0017215,696,74.96,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0006334,320,65.28,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0034080,303,57.14,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0053910,157,65.45,ID,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0058333,677,93.09,VN,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0028693,320,75.52,PH,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0048860,190,96.04,SG,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0045869,185,85.6,VN,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0047385,754,78.35,PH,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0049120,396,47.42,VN,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0040301,596,48.01,MY,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0006489,547,62.64,SG,3,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0057648,688,49.93,PH,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0040037,759,91.66,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0018531,407,83.54,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0061850,515,71.12,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0059009,365,61.55,SG,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0016939,85,86.36,PH,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0023783,16,63.76,VN,3,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0053538,400,64.82,SG,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0060596,671,52.23,PH,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0015346,330,76.38,VN,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0010275,255,92.35,SG,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0008412,831,64.13,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0036430,511,86.95,TH,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0037166,190,86.61,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0013419,816,83.5,ID,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0040809,121,67.92,MY,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0039618,379,70.89,TH,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0050166,215,55.5,TH,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0030997,349,88.35,PH,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0015025,219,77.19,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0018480,397,62.38,SG,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0044776,976,83.61,VN,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0043660,294,89.07,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0032823,499,85.78,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0029439,500,68.79,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0011491,324,68.71,SG,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0037866,186,89.44,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0029133,166,89.83,SG,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0011123,313,82.59,MY,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0011133,484,90.94,ID,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0022100,202,86.89,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0029255,323,91.3,VN,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0006551,304,79.47,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0010175,392,90.81,SG,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0036568,477,96.12,SG,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0057625,552,96.26,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0006264,161,55.3,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0027847,391,70.53,TH,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0064703,235,82.75,VN,4,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0021727,481,80.36,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0047845,141,96.85,VN,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0020841,520,71.68,ID,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0042988,475,65.36,SG,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0016436,211,91.63,VN,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0045431,88,68.77,MY,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0022314,320,78.81,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0045008,417,80.32,TH,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0019566,495,75.48,SG,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0044644,612,91.13,PH,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0036402,592,67.19,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0024306,712,67.16,VN,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0013664,442,92.11,ID,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0030641,210,71.5,VN,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0060054,478,54.95,MY,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0014098,1011,82.1,PH,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0006605,516,96.03,VN,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0040051,201,60.08,ID,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0063171,142,59.15,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0063322,717,94.72,ID,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0033104,1098,76.83,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0025871,768,91.26,SG,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0041347,73,89.95,SG,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0050749,82,92.96,TH,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0054928,351,82.31,MY,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0029737,194,88.02,SG,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0062357,141,48.9,MY,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0063551,339,91.92,TH,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0052018,867,71.97,VN,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0012258,1562,67.57,TH,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0064094,274,86.63,SG,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0020434,853,64.56,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0048872,482,92.15,VN,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0012269,524,75.15,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0002327,340,90.55,VN,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0033925,387,73.91,PH,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0016852,269,55.71,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0042997,482,92.6,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0037983,245,86.23,TH,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0056351,541,65.68,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0024786,118,67.86,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0005120,118,66.64,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0038523,292,81.17,MY,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0058936,1032,90.18,VN,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0021891,781,71.35,MY,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0050069,208,82.59,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0018625,376,74.43,ID,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0043568,307,57.84,SG,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0031948,84,89.57,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0055883,103,67.57,VN,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0058309,265,85.71,VN,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0049806,313,72.06,VN,3,1,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0027889,139,95.0,SG,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0048787,619,44.75,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0010281,163,87.68,MY,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0024288,826,70.85,MY,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0012265,579,80.79,MY,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0056391,990,38.63,SG,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0007318,362,58.85,VN,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0043013,361,73.42,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0028530,533,44.18,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0023690,276,77.74,SG,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0000303,304,84.65,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0029125,96,70.72,TH,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0007387,651,64.35,VN,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0045749,343,66.74,SG,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0022539,120,56.98,MY,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0012471,428,46.24,TH,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0003212,357,65.69,MY,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0025794,282,92.61,TH,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0012592,622,85.32,MY,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0050433,694,25.44,SG,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0004773,282,78.22,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0051853,619,80.33,ID,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0019185,518,68.53,PH,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0007227,78,73.52,MY,1,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0058647,164,94.68,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0021522,206,63.61,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0058446,381,70.53,MY,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0044812,592,81.45,ID,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0050743,208,88.75,ID,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0054466,119,56.19,ID,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0054884,102,82.25,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0006471,359,79.02,SG,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0057976,384,69.68,VN,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0037353,494,40.11,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0017801,536,58.5,SG,3,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0046450,201,51.11,SG,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0060951,346,89.84,ID,2,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0023854,331,75.72,VN,0,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
D0012237,148,87.29,TH,3,0,0,Synthetic,Synthetic,Seeded device generator,Controls testing; not vendor device intelligence
