transaction_id,transaction_time,customer_id,device_id,beneficiary_id,amount,channel,merchant_category,country,home_country,account_age_days,customer_segment,customer_vulnerability_score,usual_transaction_amount,usual_transaction_hour,p3_synthetic_risk_grade_context,p3_synthetic_pd_context,device_age_days,device_trust_score,device_country,emulator_flag,rooted_device_flag,beneficiary_age_hours,beneficiary_risk_score,beneficiary_country,mobile_channel_flag,card_channel_flag,api_channel_flag,transfer_merchant_flag,ip_risk_score,failed_otp_count,transactions_last_10m,transactions_last_1h,amount_last_24h,distance_from_last_transaction,night_transaction_flag,new_device_flag,new_beneficiary_flag,high_risk_merchant_flag,country_mismatch_flag,device_country_mismatch_flag,amount_spike_ratio,account_takeover_signal,mule_network_signal,social_engineering_signal,password_reset_recent_flag,multiple_accounts_device_flag,privileged_override_flag,blacklist_hit,duplicate_transaction_flag,transaction_fraud_label,fraud_type,simulation_day,synthetic_split,data_layer,data_status,source_type,claim_boundary,synthetic_model_score_raw,synthetic_model_score,synthetic_anomaly_score,model_feature_set,rule_hit_count,critical_rule_hits,high_rule_hits,medium_rule_hits,rule_hits,rule_reason_codes,rule_primary_action,highest_rule_priority,max_rule_severity,decision,primary_reason_code,all_reason_codes,expected_prevented_loss_proxy,customer_friction_risk,review_priority,sla_hours,override_eligibility,decision_engine_version,model_step_up_threshold,model_review_threshold,model_decline_threshold,anomaly_review_threshold
T000112639,2026-01-03 11:30:00,C0048115,D0050827,B0028515,49.28,API,TRANSFER,VN,VN,1117,Mass,18.55,31.23,14,C,0.22,444,58.22,VN,0,0,1104,12.39,SG,0,0,1,1,10.39,1,1,3,195.93,25.17,0,1,0,0,0,0,1.5779,0,0,0,0,0,0,0,0,0,NONE,3,train,Synthetic,Derived,"Synthetic model, anomaly and deterministic rules",Controls-testing decisions only; no live payment action,0.540866720308068,0.0178535977662502,0.8790691264672224,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,ALLOW,RC_LOW_RISK,RC_LOW_RISK,0.6159,Low,NONE,0,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802
T000114467,2026-01-02 14:55:00,C0032422,D0035737,B0061786,150.69,WEB,RETAIL,SG,TH,838,Mass,9.92,84.67,16,B,0.16,485,85.59,MY,0,0,659,3.79,PH,0,0,0,0,18.36,0,0,0,556.77,452.3,0,0,0,0,1,1,1.7798,1,0,0,0,0,0,0,0,0,NONE,2,train,Synthetic,Derived,"Synthetic model, anomaly and deterministic rules",Controls-testing decisions only; no live payment action,0.1686632234673849,0.0027742219356695,0.5239159481596434,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,ALLOW,RC_LOW_RISK,RC_LOW_RISK,0.2926,Low,NONE,0,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802
T000093206,2026-01-05 05:55:00,C0008467,D0025928,B0048457,425.72,MOBILE,GROCERY,PH,PH,1103,Mass,14.67,880.42,5,B,0.16,145,66.57,MY,0,0,388,25.05,SG,1,0,0,0,2.65,0,1,1,1564.51,119.95,1,0,0,0,0,1,0.4835,0,0,0,0,0,0,0,0,0,NONE,5,train,Synthetic,Derived,"Synthetic model, anomaly and deterministic rules",Controls-testing decisions only; no live payment action,0.1883674861134801,0.0032009580388699,0.2628627237158247,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,ALLOW,RC_LOW_RISK,RC_LOW_RISK,0.9539,Low,NONE,0,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802
T000047737,2026-01-23 14:31:00,C0026455,D0044584,B0003769,17.68,MOBILE,GAMING,VN,VN,419,Affluent,6.22,32.89,12,A,0.1,131,72.92,VN,0,0,2789,13.21,ID,1,0,0,0,9.14,1,4,6,27.1,9.96,0,0,0,1,0,0,0.5375,0,0,0,0,0,0,0,0,0,NONE,23,validation,Synthetic,Derived,"Synthetic model, anomaly and deterministic rules",Controls-testing decisions only; no live payment action,0.413858379617958,0.0104177114022457,0.3087533029353433,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,ALLOW,RC_LOW_RISK,RC_LOW_RISK,0.1289,Low,NONE,0,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802
T000182026,2026-01-25 05:15:00,C0048301,D0047918,B0076675,538.04,CARD,GROCERY,PH,PH,1792,Mass,9.22,209.13,7,C,0.22,439,50.14,SG,0,0,2848,51.02,SG,0,1,0,0,1.56,1,4,9,905.0,140.84,1,0,0,0,0,1,2.5728,1,0,0,0,0,0,0,0,0,NONE,25,validation,Synthetic,Derived,"Synthetic model, anomaly and deterministic rules",Controls-testing decisions only; no live payment action,0.3764487062472754,0.0088284943558127,0.8018178876792273,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,ALLOW,RC_LOW_RISK,RC_LOW_RISK,3.3251,Low,NONE,0,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802
T000199066,2026-01-04 12:24:00,C0040353,D0047404,B0083693,504.21,MOBILE,TRAVEL,ID,ID,892,Affluent,4.91,298.87,9,B,0.16,253,66.99,VN,0,0,2729,3.45,ID,1,0,0,0,0.69,1,0,3,777.57,52.74,0,0,0,0,0,1,1.6871,0,0,0,0,0,0,0,0,0,NONE,4,train,Synthetic,Derived,"Synthetic model, anomaly and deterministic rules",Controls-testing decisions only; no live payment action,0.2130837984978019,0.0037714119338969,0.0042241622078287,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,ALLOW,RC_LOW_RISK,RC_LOW_RISK,1.3311,Low,NONE,0,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802
T000118603,2026-01-07 17:47:00,C0036235,D0007674,B0048092,9.27,MOBILE,ELECTRONICS,VN,VN,335,Mass,11.62,10.21,15,B,0.16,805,37.76,SG,0,0,1386,22.87,SG,1,0,0,0,2.42,0,4,5,12.81,23.28,0,0,0,1,0,1,0.9083,0,0,1,0,0,0,0,0,0,NONE,7,train,Synthetic,Derived,"Synthetic model, anomaly and deterministic rules",Controls-testing decisions only; no live payment action,0.4972531827066115,0.0148602506921306,0.5316632414003847,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,ALLOW,RC_LOW_RISK,RC_LOW_RISK,0.0964,Low,NONE,0,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802
T000055331,2026-01-06 15:57:00,C0000467,D0052312,B0023466,772.72,WEB,RETAIL,VN,VN,605,SME,19.72,317.24,14,B,0.16,429,79.21,SG,0,0,1330,26.56,ID,0,0,0,0,15.91,1,1,2,4959.21,174.37,0,0,0,0,0,1,2.4357,0,0,0,0,0,0,0,0,0,NONE,6,train,Synthetic,Derived,"Synthetic model, anomaly and deterministic rules",Controls-testing decisions only; no live payment action,0.1763637571744788,0.0029381473389533,0.1236451224407868,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,ALLOW,RC_LOW_RISK,RC_LOW_RISK,1.5893,Low,NONE,0,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802
T000047911,2026-01-25 18:16:00,C0015020,D0018237,B0077668,80.17,MOBILE,ELECTRONICS,SG,SG,1092,Digital_Native,20.74,36.67,13,B,0.16,512,79.09,MY,0,0,2022,9.59,VN,1,0,0,0,12.08,0,0,1,181.45,22.92,0,0,0,1,0,1,2.1863,0,0,0,0,0,0,0,0,0,NONE,25,validation,Synthetic,Derived,"Synthetic model, anomaly and deterministic rules",Controls-testing decisions only; no live payment action,0.5263781832638914,0.0167961582808126,0.0719845173969574,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,ALLOW,RC_LOW_RISK,RC_LOW_RISK,0.9426,Low,NONE,0,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802
T000045083,2026-01-11 06:32:00,C0049941,D0041419,B0017840,51.92,CARD,GAMING,TH,TH,394,Mass,21.47,33.67,10,C,0.22,245,83.97,ID,0,0,3045,9.43,TH,0,1,0,0,2.47,1,1,2,74.87,170.17,0,0,0,1,0,1,1.5421,0,0,1,1,0,0,0,0,0,NONE,11,train,Synthetic,Derived,"Synthetic model, anomaly and deterministic rules",Controls-testing decisions only; no live payment action,0.4085841408086567,0.0101807645849713,0.7207259567278022,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,ALLOW,RC_LOW_RISK,RC_LOW_RISK,0.37,Low,NONE,0,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802
T000075782,2026-01-26 08:07:00,C0042847,D0052900,B0047725,432.22,API,GROCERY,VN,VN,729,Mass,21.65,213.49,8,C,0.22,612,78.46,ID,0,0,1303,29.75,VN,0,0,1,0,21.94,0,2,4,512.57,68.53,0,0,0,0,1,1,2.0246,0,1,0,0,0,0,0,0,0,NONE,26,test,Synthetic,Derived,"Synthetic model, anomaly and deterministic rules",Controls-testing decisions only; no live payment action,0.6443678169040675,0.0279745797272832,0.8671515964936458,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,ALLOW,RC_LOW_RISK,RC_LOW_RISK,8.4638,Low,NONE,0,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802
T000190039,2026-01-29 05:14:00,C0000477,D0003341,B0000298,61.43,MOBILE,TRANSFER,PH,PH,111,Digital_Native,35.2,46.2,11,C,0.22,736,74.05,ID,0,0,3545,12.14,TH,1,0,0,1,32.14,0,1,4,245.6,56.14,1,1,0,0,0,1,1.3297,0,0,0,0,1,0,0,0,0,NONE,29,test,Synthetic,Derived,"Synthetic model, anomaly and deterministic rules",Controls-testing decisions only; no live payment action,0.5684753972450887,0.0200705476933856,0.9736304427281496,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,ALLOW,RC_LOW_RISK,RC_LOW_RISK,0.8631,Low,NONE,0,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802
T000199751,2026-01-25 13:45:00,C0010231,D0047097,B0039419,78.6,MOBILE,UTILITIES,PH,PH,318,Digital_Native,14.0,101.14,15,D,0.29,498,85.08,PH,0,0,2856,9.29,MY,1,0,0,0,7.36,0,1,2,105.67,65.9,0,0,0,0,0,0,0.7771,1,0,0,0,0,0,0,0,0,NONE,25,validation,Synthetic,Derived,"Synthetic model, anomaly and deterministic rules",Controls-testing decisions only; no live payment action,0.2640900008163442,0.0050868370706196,0.3243197900501507,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,ALLOW,RC_LOW_RISK,RC_LOW_RISK,0.2799,Low,NONE,0,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802
T000039611,2026-01-28 14:22:00,C0004098,D0016871,B0008653,397.9,MOBILE,TRANSFER,VN,TH,679,Mass,25.34,148.39,12,B,0.16,296,73.65,SG,0,0,166,3.48,MY,1,0,0,1,29.36,2,0,1,719.59,73.5,0,0,1,0,1,1,2.6815,0,0,0,0,0,0,0,0,0,NONE,28,test,Synthetic,Derived,"Synthetic model, anomaly and deterministic rules",Controls-testing decisions only; no live payment action,0.5288411261053663,0.0169711968034724,0.8125011234473957,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,ALLOW,RC_LOW_RISK,RC_LOW_RISK,4.727,Low,NONE,0,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802
T000064413,2026-01-06 06:17:00,C0044522,D0015486,B0087923,72.2,MOBILE,TRAVEL,VN,VN,208,Digital_Native,12.85,251.6,7,E,0.36,669,83.57,TH,0,0,580,15.65,MY,1,0,0,0,2.01,2,1,4,162.53,75.64,0,0,0,0,0,1,0.287,0,0,1,1,0,0,0,0,0,NONE,6,train,Synthetic,Derived,"Synthetic model, anomaly and deterministic rules",Controls-testing decisions only; no live payment action,0.2598025340750701,0.0049684544921024,0.407616673756868,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,ALLOW,RC_LOW_RISK,RC_LOW_RISK,0.2511,Low,NONE,0,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802
T000048386,2026-01-07 09:28:00,C0022929,D0058673,B0039447,164.53,MOBILE,GROCERY,TH,TH,2311,Affluent,13.12,100.18,8,A,0.1,506,73.26,VN,0,0,2517,43.07,SG,1,0,0,0,11.49,3,1,1,332.93,73.52,0,0,1,0,0,1,1.6423,0,0,1,0,0,0,0,0,0,NONE,7,train,Synthetic,Derived,"Synthetic model, anomaly and deterministic rules",Controls-testing decisions only; no live payment action,0.4048028230809221,0.010013614511529,0.5260430085621671,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,ALLOW,RC_LOW_RISK,RC_LOW_RISK,1.1533,Low,NONE,0,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802
T000097321,2026-01-22 17:32:00,C0000907,D0050038,B0056235,203.99,MOBILE,RETAIL,VN,VN,1782,Mass,8.08,312.4,14,D,0.29,264,74.44,VN,0,0,2686,5.46,PH,1,0,0,0,0.55,1,1,1,343.07,19.44,0,0,0,0,0,0,0.653,0,0,0,0,0,0,0,0,0,NONE,22,validation,Synthetic,Derived,"Synthetic model, anomaly and deterministic rules",Controls-testing decisions only; no live payment action,0.22364507398616,0.0040278560805337,0.0940819787054291,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,ALLOW,RC_LOW_RISK,RC_LOW_RISK,0.5751,Low,NONE,0,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802
T000150171,2026-01-26 14:28:00,C0044332,D0057276,B0067988,253.92,MOBILE,GROCERY,TH,TH,663,Mass,4.9,32.53,17,A,0.1,815,81.07,VN,0,0,3394,17.53,SG,1,0,0,0,2.4,2,1,4,1577.65,28.86,0,0,0,0,0,1,7.8058,0,0,1,0,0,0,0,0,0,NONE,26,test,Synthetic,Derived,"Synthetic model, anomaly and deterministic rules",Controls-testing decisions only; no live payment action,0.2928476416936801,0.0059219024438974,0.1518541375818618,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,ALLOW,RC_LOW_RISK,RC_LOW_RISK,1.0526,Low,NONE,0,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802
T000018385,2026-01-27 07:21:00,C0035284,D0022012,B0082608,59.41,MOBILE,TRAVEL,SG,SG,774,Mass,20.13,86.73,13,B,0.16,261,90.26,VN,0,0,1116,11.41,VN,1,0,0,0,1.6,1,1,4,152.8,65.12,0,0,0,0,0,1,0.685,0,0,0,0,0,0,0,0,0,NONE,27,test,Synthetic,Derived,"Synthetic model, anomaly and deterministic rules",Controls-testing decisions only; no live payment action,0.358837139107707,0.0081483659311798,0.0055962659604426,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,ALLOW,RC_LOW_RISK,RC_LOW_RISK,0.3389,Low,NONE,0,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802
T000183374,2026-01-21 11:54:00,C0013382,D0049241,B0029830,164.03,WEB,GROCERY,VN,VN,761,Mass,10.36,266.13,14,B,0.16,258,65.77,SG,0,0,3933,8.76,ID,0,0,0,0,19.42,1,1,2,210.19,72.5,0,1,0,0,0,1,0.6164,0,0,0,1,0,0,0,0,0,NONE,21,validation,Synthetic,Derived,"Synthetic model, anomaly and deterministic rules",Controls-testing decisions only; no live payment action,0.1212866011507689,0.0018409310440695,0.5090145419030899,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,ALLOW,RC_LOW_RISK,RC_LOW_RISK,0.2114,Low,NONE,0,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802
T000054083,2026-01-22 16:54:00,C0003730,D0014307,B0085504,624.27,MOBILE,GAMING,PH,PH,1746,Mass,6.06,189.55,14,B,0.16,268,93.55,ID,0,0,1903,9.39,VN,1,0,0,0,2.88,3,2,5,2003.22,444.94,0,0,1,1,0,1,3.2934,0,0,0,0,0,0,0,0,0,NONE,22,validation,Synthetic,Derived,"Synthetic model, anomaly and deterministic rules",Controls-testing decisions only; no live payment action,0.5503234626081551,0.0185815701277948,0.6143969034793915,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,ALLOW,RC_LOW_RISK,RC_LOW_RISK,8.1199,Low,NONE,0,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802
T000040571,2026-01-24 12:01:00,C0036821,D0050142,B0040628,675.7,MOBILE,GROCERY,VN,VN,624,Digital_Native,20.05,210.53,12,B,0.16,176,66.77,TH,0,0,1493,8.4,VN,1,0,0,0,6.8,2,2,4,3204.8,110.54,0,0,1,0,0,1,3.2095,1,0,0,1,0,0,0,0,0,NONE,24,validation,Synthetic,Derived,"Synthetic model, anomaly and deterministic rules",Controls-testing decisions only; no live payment action,0.5193662707986844,0.0163079448991933,0.8053230435538087,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,ALLOW,RC_LOW_RISK,RC_LOW_RISK,7.7135,Low,NONE,0,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802
T000232864,2026-01-04 12:43:00,C0020327,D0036366,B0049479,470.37,WEB,UTILITIES,ID,ID,1157,Digital_Native,25.04,250.97,11,E,0.36,690,91.82,VN,0,0,2529,29.89,VN,0,0,0,0,12.08,0,2,5,992.68,135.67,0,0,0,0,0,1,1.8742,0,0,0,0,0,0,0,0,0,NONE,4,train,Synthetic,Derived,"Synthetic model, anomaly and deterministic rules",Controls-testing decisions only; no live payment action,0.1898465839758988,0.0032339692769322,0.0933030551777443,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,ALLOW,RC_LOW_RISK,RC_LOW_RISK,1.0648,Low,NONE,0,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802
