alert_id,transaction_id,transaction_time,customer_id,device_id,beneficiary_id,amount,channel,merchant_category,country,home_country,account_age_days,customer_segment,customer_vulnerability_score,usual_transaction_amount,usual_transaction_hour,p3_synthetic_risk_grade_context,p3_synthetic_pd_context,device_age_days,device_trust_score,device_country,emulator_flag,rooted_device_flag,beneficiary_age_hours,beneficiary_risk_score,beneficiary_country,mobile_channel_flag,card_channel_flag,api_channel_flag,transfer_merchant_flag,ip_risk_score,failed_otp_count,transactions_last_10m,transactions_last_1h,amount_last_24h,distance_from_last_transaction,night_transaction_flag,new_device_flag,new_beneficiary_flag,high_risk_merchant_flag,country_mismatch_flag,device_country_mismatch_flag,amount_spike_ratio,account_takeover_signal,mule_network_signal,social_engineering_signal,password_reset_recent_flag,multiple_accounts_device_flag,privileged_override_flag,blacklist_hit,duplicate_transaction_flag,transaction_fraud_label,fraud_type,simulation_day,synthetic_split,data_layer,data_status,source_type,claim_boundary,synthetic_model_score_raw,synthetic_model_score,synthetic_anomaly_score,model_feature_set,rule_hit_count,critical_rule_hits,high_rule_hits,medium_rule_hits,rule_hits,rule_reason_codes,rule_primary_action,highest_rule_priority,max_rule_severity,decision,primary_reason_code,all_reason_codes,expected_prevented_loss_proxy,customer_friction_risk,review_priority,sla_hours,override_eligibility,decision_engine_version,model_step_up_threshold,model_review_threshold,model_decline_threshold,anomaly_review_threshold,detection_confidence,potential_loss_proxy,alert_priority_score,assigned_team,arrival_day,processed_day,queue_age_hours,capacity_status,handling_minutes,sla_breach_flag,investigation_status,outcome,analyst_action,prevented_loss_proxy,recovery_proxy
AL000005157,T000231381,2026-01-26 12:09:00,C0024258,D0046917,B0022341,2.66,CARD,ELECTRONICS,SG,SG,507,Mass,11.25,37.98,14,E,0.36,774,94.6,VN,0,0,423,1.81,VN,0,1,0,0,6.49,0,9,13,5.46,120.46,0,0,0,1,0,1,0.07,0,0,0,1,0,0,0,0,0,NONE,26,test,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.8898093814601807,0.1241920447336838,0.8122554629502028,observable_controls_v1,1,0,1,0,FRD-030,RC_HIGH_VELOCITY,HOLD,3,HIGH,MANUAL_REVIEW,RC_MODEL_HIGH,RC_MODEL_HIGH;RC_HIGH_VELOCITY,0.2312,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.6229,0.3304,0.2173,Fraud Operations,26,26,0.0,Within simulation window,14,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000002293,T000102480,2026-01-20 19:22:00,C0040496,D0045177,B0031196,4531.36,CARD,GAMING,VN,VN,839,Mass,10.75,298.38,19,C,0.22,577,51.13,VN,0,0,1282,5.13,PH,0,1,0,0,10.53,2,2,6,10736.0,218.17,0,1,0,1,0,0,15.1865,1,0,0,0,0,0,0,0,0,NONE,20,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.4389838750992152,0.0116109752691998,0.9951586906894672,observable_controls_v1,1,0,1,0,FRD-031,RC_UNUSUAL_AMOUNT,MANUAL_REVIEW,4,HIGH,MANUAL_REVIEW,RC_ANOMALY_HIGH,RC_ANOMALY_HIGH;RC_UNUSUAL_AMOUNT,36.8295,Medium,HIGH,4,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.6222,52.6135,51.7416,Fraud Operations,20,20,0.0,Within simulation window,19,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000004281,T000192044,2026-01-11 03:14:00,C0002851,D0028392,B0011041,11.87,MOBILE,TRANSFER,PH,PH,896,SME,8.47,120.29,10,B,0.16,209,82.58,SG,0,0,1612,3.48,PH,1,0,0,1,34.24,5,5,8,48.0,31.23,1,1,0,0,0,1,0.0987,1,1,0,0,0,0,0,0,0,NONE,11,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.5286664736920337,0.0169587224205237,0.9917434106065418,observable_controls_v1,2,1,0,1,FRD-010;FRD-040,RC_ATO_CRITICAL;RC_AUTH_FAILURE,HOLD,2,CRITICAL,HOLD,RC_ATO_CRITICAL,RC_ATO_CRITICAL;RC_AUTH_FAILURE,0.1409,High,HIGH,4,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.743,0.2013,0.2339,ATO & Account Security,11,11,0.0,Within simulation window,20,0,CLOSED,CUSTOMER_AUTHORISED,Release and record customer confirmation,0.0,0.0
AL000000588,T000026661,2026-01-14 11:53:00,C0030177,D0014109,B0016293,4.7,CARD,UTILITIES,ID,ID,1443,Mass,10.14,67.36,12,C,0.22,414,58.57,PH,0,0,4738,49.0,ID,0,1,0,0,16.07,0,3,11,6.62,203.28,0,0,0,0,0,1,0.0698,0,1,0,0,0,0,0,0,0,NONE,14,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.8903890084880131,0.1248814406818842,0.6748773195443897,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,MANUAL_REVIEW,RC_MODEL_HIGH,RC_MODEL_HIGH,0.4109,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.4825,0.5869,0.2975,Fraud Operations,14,14,0.0,Within simulation window,14,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000003673,T000164586,2026-01-02 05:43:00,C0041306,D0055998,B0080412,62.98,MOBILE,GROCERY,VN,VN,1226,Mass,9.05,83.52,12,A,0.1,60,80.0,SG,0,0,2165,14.26,VN,1,0,0,0,17.11,5,3,3,93.1,113.06,1,0,1,0,1,1,0.7541,1,0,0,0,0,0,0,0,0,NONE,2,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.3717479729376413,0.0086429810967944,0.9128803992881838,observable_controls_v1,2,1,0,1,FRD-010;FRD-040,RC_ATO_CRITICAL;RC_AUTH_FAILURE,HOLD,2,CRITICAL,HOLD,RC_ATO_CRITICAL,RC_ATO_CRITICAL;RC_AUTH_FAILURE,0.381,High,HIGH,4,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.7291,0.6298,0.7199,ATO & Account Security,2,2,0.0,Within simulation window,16,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000002352,T000104753,2026-01-19 01:32:00,C0020741,D0057596,B0013177,32.68,WEB,GAMING,SG,TH,1347,Affluent,10.86,55.69,11,C,0.22,270,58.28,SG,1,0,778,23.02,TH,0,0,0,0,23.14,3,0,1,38.55,1698.36,1,0,1,1,1,1,0.5869,0,0,0,0,0,0,0,0,0,NONE,19,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.4286148531248952,0.0111051598851296,0.9991252089612156,observable_controls_v1,1,0,1,0,FRD-051,RC_IMPOSSIBLE_TRAVEL,MANUAL_REVIEW,4,HIGH,MANUAL_REVIEW,RC_ANOMALY_HIGH,RC_ANOMALY_HIGH;RC_IMPOSSIBLE_TRAVEL,0.254,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.6226,0.3629,0.2382,Fraud Operations,19,19,0.0,Within simulation window,10,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000000491,T000021837,2026-01-06 22:37:00,C0027046,D0006565,B0023873,332.1,API,UTILITIES,TH,TH,920,Digital_Native,49.58,149.99,23,B,0.16,661,98.24,TH,0,0,1568,13.46,ID,0,0,1,0,39.67,2,4,5,789.29,141.67,0,0,1,0,0,0,2.2142,1,0,0,0,0,1,0,0,0,NONE,6,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.6469562896640275,0.0283047699733751,0.9990413248890034,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,MANUAL_REVIEW,RC_ANOMALY_HIGH,RC_ANOMALY_HIGH,6.58,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.5069,9.4,5.9465,Fraud Operations,6,6,0.0,Within simulation window,11,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000003113,T000139331,2026-01-13 10:15:00,C0040490,D0045375,B0000263,3.05,CARD,GROCERY,VN,VN,1504,Mass,9.81,20.55,13,A,0.1,692,75.65,MY,0,0,2813,37.05,VN,0,1,0,0,1.94,0,7,12,7.62,173.22,0,0,0,0,0,1,0.1486,0,0,0,1,1,0,0,0,0,NONE,13,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.8862145912650613,0.1200564421372306,0.8779247080534701,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,MANUAL_REVIEW,RC_MODEL_HIGH,RC_MODEL_HIGH,0.2563,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.5117,0.3662,0.1966,Fraud Operations,13,13,0.0,Within simulation window,13,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000001709,T000076644,2026-01-11 13:50:00,C0027229,D0036311,B0008375,3.85,CARD,RETAIL,PH,VN,362,Mass,17.68,8.42,13,C,0.22,90,60.01,ID,0,0,2513,8.12,MY,0,1,0,0,6.78,4,9,19,10.56,381.7,0,0,0,0,1,1,0.4578,1,0,1,1,0,0,0,0,1,CARD_TESTING,11,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.8898093814601807,0.1241920447336838,0.9925223341342264,observable_controls_v1,1,0,1,0,FRD-030,RC_HIGH_VELOCITY,HOLD,3,HIGH,MANUAL_REVIEW,RC_MODEL_HIGH,RC_MODEL_HIGH;RC_HIGH_VELOCITY,0.3347,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.6499,0.4781,0.3382,Fraud Operations,11,11,0.0,Within simulation window,10,0,CLOSED,CONFIRMED_FRAUD,Block instrument and initiate recovery,1.73,0.58
AL000000511,T000022429,2026-01-06 18:40:00,C0045521,D0024767,B0065476,2.88,CARD,GAMING,MY,MY,1018,Mass,13.29,55.72,18,E,0.36,739,80.81,ID,0,1,1436,28.44,PH,0,1,0,0,6.11,1,6,7,3.35,18.09,0,0,0,1,0,1,0.0517,0,0,0,0,0,0,0,0,0,NONE,6,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.8883218874957592,0.1224520035884287,0.8468157007016304,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,MANUAL_REVIEW,RC_MODEL_HIGH,RC_MODEL_HIGH,0.2469,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.5076,0.3527,0.1909,Fraud Operations,6,6,0.0,Within simulation window,14,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000004097,T000183854,2026-01-16 14:24:00,C0010162,D0060825,B0075597,4.16,CARD,UTILITIES,MY,MY,1048,Mass,22.19,26.3,14,A,0.1,769,96.2,VN,0,0,5352,26.6,ID,0,1,0,0,13.0,0,11,18,9.85,100.28,0,0,0,0,0,1,0.1582,1,0,0,1,0,0,0,0,0,NONE,16,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.8898093814601807,0.1241920447336838,0.9795981952941036,observable_controls_v1,2,0,2,0,FRD-030;FRD-032,RC_HIGH_VELOCITY;RC_CARD_TESTING,HOLD,3,HIGH,MANUAL_REVIEW,RC_MODEL_HIGH,RC_MODEL_HIGH;RC_HIGH_VELOCITY;RC_CARD_TESTING,0.3616,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.768,0.5166,0.4408,Fraud Operations,16,16,0.0,Within simulation window,14,0,CLOSED,PENDING,Maintain monitoring,0.0,0.0
AL000002255,T000100756,2026-01-18 07:33:00,C0017220,D0052523,B0076144,192.97,MOBILE,GROCERY,MY,MY,903,Digital_Native,29.94,100.89,7,A,0.1,85,86.27,VN,0,0,873,9.82,TH,1,0,0,0,6.81,7,0,2,739.73,221.11,0,0,1,0,0,1,1.9127,1,0,0,1,0,0,0,0,0,NONE,18,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.4650415348968917,0.0129728922585012,0.926481602425448,observable_controls_v1,2,1,0,1,FRD-010;FRD-040,RC_ATO_CRITICAL;RC_AUTH_FAILURE,HOLD,2,CRITICAL,HOLD,RC_ATO_CRITICAL,RC_ATO_CRITICAL;RC_AUTH_FAILURE,1.7524,High,HIGH,4,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.7322,2.5034,3.1611,ATO & Account Security,18,18,0.0,Within simulation window,20,0,CLOSED,CUSTOMER_AUTHORISED,Release and record customer confirmation,0.0,0.0
AL000001562,T000070430,2026-01-08 15:37:00,C0039830,D0064298,B0077740,140.2,API,TRAVEL,VN,TH,2231,Mass,12.43,116.92,15,B,0.16,134,96.14,MY,0,0,1324,2.33,VN,0,0,1,0,23.91,2,1,2,254.4,65.08,0,0,0,0,1,1,1.1991,1,0,0,1,1,1,0,0,0,NONE,8,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.6325542403976876,0.0265270546078722,0.9976093039419522,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,MANUAL_REVIEW,RC_ANOMALY_HIGH,RC_ANOMALY_HIGH,2.6034,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.5063,3.7191,1.9999,Fraud Operations,8,8,0.0,Within simulation window,14,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000002764,T000123617,2026-01-10 06:53:00,C0025885,D0002896,B0029424,3.7,CARD,GROCERY,VN,VN,996,Mass,7.9,12.9,8,D,0.29,431,53.53,VN,0,0,8302,43.7,ID,0,1,0,0,3.34,0,7,13,4.64,12.92,0,0,0,0,0,0,0.2866,0,0,0,0,0,0,0,0,0,NONE,10,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.8898093814601807,0.1241920447336838,0.7995650011683852,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,MANUAL_REVIEW,RC_MODEL_HIGH,RC_MODEL_HIGH,0.3217,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.501,0.4595,0.2393,Fraud Operations,10,10,0.0,Within simulation window,15,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
AL000002378,T000105447,2026-01-15 02:05:00,C0001558,D0039536,B0035777,4.1,CARD,RETAIL,PH,PH,546,Mass,31.14,31.23,6,B,0.16,271,77.19,VN,0,0,857,6.78,PH,0,1,0,0,10.51,2,7,12,5.56,65.0,1,0,1,0,0,1,0.1313,1,0,1,0,0,0,0,0,0,NONE,15,train,Synthetic,Derived,Synthetic hybrid decisions and simulated investigations,Controls-testing workload and outcomes; not observed operations,0.8872181629367177,0.1211873365573758,0.9724560657171788,observable_controls_v1,0,0,0,0,,,ALLOW,8,NONE,MANUAL_REVIEW,RC_MODEL_HIGH,RC_MODEL_HIGH,0.3478,Medium,MEDIUM,24,Documented case override permitted,P5-HYBRID-1.0,0.0351682882799723,0.1200564421372306,0.1241920447336838,0.9950960772212802,0.5262,0.4969,0.3021,Fraud Operations,15,15,0.0,Within simulation window,14,0,CLOSED,LEGITIMATE,Release transaction/control,0.0,0.0
